created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-01 00:08:36+00:00,RT @nytimes: Media executives say the 3-minute ad addressing the coronavirus that Mike Bloomberg will air on network television Sunday may…,pickooo,new delhi india,Athlete⛹️Aesthetic💪Fitness lover 🏋️Traveler🏂 Interest in Social|Defence|Politics|Sports|Foreign Policy|Information Technology|Digital India|Data Analyst|AI.,7530,399,610541,False,Media executives say the 3-minute ad addressing the coronavirus that Mike Bloomberg will air on network television Sunday may have cost his campaign anywhere from $1.25 million to $3 million https://t.co/NJJ6etJ1h1
2020-03-01 00:08:31+00:00,RT @XHNews: Amazing cluster of ancient buildings in north China's Xinzhou City. #AmazingChina https://t.co/EXPckQYV3u,pickooo,new delhi india,Athlete⛹️Aesthetic💪Fitness lover 🏋️Traveler🏂 Interest in Social|Defence|Politics|Sports|Foreign Policy|Information Technology|Digital India|Data Analyst|AI.,7530,399,610541,False,Amazing cluster of ancient buildings in north China's Xinzhou City. #AmazingChina https://t.co/EXPckQYV3u
2020-03-01 00:08:29+00:00,@riteshagar @CNN @jchatterleyCNN @riteshagar love to helping on #Coronavirus,AtazHussain,gurgaon india,Winners do not do different things they do things differently,0,96,195,False,
2020-03-01 00:08:26+00:00,RT @Antony511: How the Coronavirus Response Is Aided by Analytics https://t.co/PDeohXiQiL #IoT,IoT_Technojeder,india,Hi! I am TechnorIoT Bot. I will help you out in exploring the world of IoT!😎,1228,32,93702,False,How the Coronavirus Response Is Aided by Analytics https://t.co/PDeohXiQiL #IoT
2020-03-01 00:07:50+00:00,"RT @TheEconomist: Covid-19 will provide new opportunities for spreading fear, uncertainty and doubt on social media  https://t.co/xS273nouMu",pickooo,new delhi india,Athlete⛹️Aesthetic💪Fitness lover 🏋️Traveler🏂 Interest in Social|Defence|Politics|Sports|Foreign Policy|Information Technology|Digital India|Data Analyst|AI.,7530,399,610541,False,"Covid-19 will provide new opportunities for spreading fear, uncertainty and doubt on social media  https://t.co/xS273nouMu"
2020-03-01 00:07:51+00:00,"WHO says that over 6,000 #coronavirus cases have been registered outside China; More than 1,300 new cases have been confirmed outside #China during the past 24 hours. https://t.co/PUg7rGr1Kj",airnewsalerts,new delhi india,"Official account of News Services Division, All India Radio.

हिंदी के समाचारों के लिए @AIRNewsHindi को फॉलो करें!
Follow @AIRNewsUrdu for news updates in Urdu",2458263,17,279673,True,
2020-03-01 00:07:43+00:00,RT @airnewsalerts: #SaudiArabia’s Ministry of Tourism announces that it has temporarily stopped issuing tourist visas to people in certain…,pickooo,new delhi india,Athlete⛹️Aesthetic💪Fitness lover 🏋️Traveler🏂 Interest in Social|Defence|Politics|Sports|Foreign Policy|Information Technology|Digital India|Data Analyst|AI.,7530,399,610541,False,#SaudiArabia’s Ministry of Tourism announces that it has temporarily stopped issuing tourist visas to people in certain countries particularly badly hit by the #coronavirus outbreak.
2020-03-01 00:06:55+00:00,"RT @LukeBarnett: The cost to get tested for #Coronavirus with no insurance being $3,270 is the most USA thing that could ever USA.",AnuradhaVaranas,mumbai india,Freelance science writer and journalist. 2019 Diversity Fellow @ScienceWriters Recent graduate @columbiajourn & former health correspondent at The Week,738,965,867,False,"The cost to get tested for #Coronavirus with no insurance being $3,270 is the most USA thing that could ever USA."
2020-03-01 00:06:35+00:00,"#STUDYMBBS In Abroad 

From Top Medical Universities

#topuniversities #studymbbs
#neetug2020 #Studymbbsinrussia #educationrussia #medicos
#Russia #kazakhstan #china #ukraine #armenia #georgia #philippines… https://t.co/HCbOaZwlc6",AdvisorShiksha,noida india,Shiksha Advisor is an organization which gives counselling & best career guidance to the great available minds of India for studying in India and Abroad....,217,2137,1631,False,
2020-03-01 00:01:43+00:00,"Airlines forced to cut flights as Covid-19 eruption adversely hits demand, stare at about $28 billion loss in revenue.

The Novel Coronavirus 2019 outbreak (Covid-19) has severely affected passenger demand for the airlines, especially in the  #airlines  https://t.co/QB6XT0zSVi https://t.co/SPwg3ji9Kb",nc_airways,patna india,"News&Views; Science&Technology, Aviation || Air, hotel bookings online || Submit a story and be rewarded || All my social media connects eligible for discounts",69,304,12251,False,
2020-03-01 00:01:34+00:00,"RT @majorgauravarya: Pakistan refuses to evacuate its students stuck in China. A grateful China sends 100,000 ducks to Pakistan in return.…",yeshukrish1987,bengaluru india,Nationalist🇮🇳 | News Enthusiast | #Hinduism is not religion its way of life | #BTech #ELECTRICAL |,27,117,7697,False,"Pakistan refuses to evacuate its students stuck in China. A grateful China sends 100,000 ducks to Pakistan in return. #WhatTheDuck is going on ⁦@ImranKhanPTI⁩? 

No point in saying anything...to Imran, it’s just water off a duck’s back. https://t.co/d4OIFE6IVM"
2020-03-01 00:01:30+00:00,RT @SustainPlastics: Coronavirus updates: Geneva auto show cancelled https://t.co/FjIjJW7rM9,bala_74,india,21 years into supply of engineering polymers and sheets.,50,115,5196,False,Coronavirus updates: Geneva auto show cancelled https://t.co/FjIjJW7rM9
2020-03-01 00:01:18+00:00,RT @ETAuto: ETAuto | Manufacturing falls to historic low in China https://t.co/QzjRez6YgO,bala_74,india,21 years into supply of engineering polymers and sheets.,50,115,5196,False,ETAuto | Manufacturing falls to historic low in China https://t.co/QzjRez6YgO
2020-03-01 00:00:49+00:00,"RT @paulg: ""In the past week, Covid-19 has started behaving a lot like the once-in-a-century pathogen we’ve been worried about. I hope it’s…",sangeeth96,bengaluru india,"🐧 Slacking off @Flock
; 🕰 Ex @NetApp
; 🤸‍♂️ @VueBLR co-organizer
; 😍 Web Tech Enthusiast
; 🎮 Passionate Gamer
; 📖 Always a Learner
; 🤩 Microsoft stan",360,1499,10573,False,"""In the past week, Covid-19 has started behaving a lot like the once-in-a-century pathogen we’ve been worried about. I hope it’s not that bad, but we should assume it will be until we know otherwise.""

— Bill Gates

https://t.co/WOZYhGETcK"
2020-03-01 00:00:12+00:00,"RT @airnewsalerts: Health Secretary Preeti Sudan reviews preparedness on #COVID19

https://t.co/SNm5d3cdAf",HirenMParekh,vadodara gujarat india,"Follow Me For All type News 1 Twitter Account, Proud Indian, Proud Gujarati, Proud Vadodarian. Like Follow Subscribed : Facebook Twitter YouTube : @HirenMParekh",654,1837,225670,False,"Health Secretary Preeti Sudan reviews preparedness on #COVID19

https://t.co/SNm5d3cdAf"
2020-03-01 00:00:06+00:00,Seven Israelis have tested positive for coronavirus https://t.co/rh4JvxCDkT,tn_haokip,imphal india,"Former President,Manipur Pradesh Congress Committee.Former Minister and Speaker, Manipur Legislative https://t.co/ZHdTXLqMAf reading & traveling",1423,68,27003,True,
