created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-01 01:11:25+00:00,"RT @chamath: I can’t remember a more volatile start to a year in recent memory.

January: US assasinates General and postures war with Iran…",contrainvestor,india,"Contrarian-Long Term-Value Investor, Avid reader, Cricket & Travel",88,1007,4623,False,"I can’t remember a more volatile start to a year in recent memory.

January: US assasinates General and postures war with Iran

February: Coronavirus pandemic roils world travel, GDP and capital markets

What will March have in store? Who knows, but stay calm, chaos will subside."
2020-03-01 01:11:29+00:00,RT @ray4tesla: China Delivery Update: crazy delivery time returns back to @teslacn. Almost all flatbed trucks in Shanghai are rented for #M…,kotteeswaran25,chennai india,"science, SciFi, Tamil, space, aliens, time travel, history.",12,118,221,False,"China Delivery Update: crazy delivery time returns back to @teslacn. Almost all flatbed trucks in Shanghai are rented for #Model3 home delivery. Talking about demand, it’s not slowing down either. New orders submitted today will be delivered in May, according to a sales rep. https://t.co/TLKSFquC1o"
2020-03-01 01:11:34+00:00,Didn’t you hear him say what everyone else said about Corona was a huge hoax? Only Donald knows Corona well and he is going to give the world the great gift of the new pandemic.. unless the voters choose to end his fully paid up tenancy at the White House..,satish_jha,new delhi india,"Edited Dinamaan; co-founded @Jansatta; #PUCL Bulletin; #TiEPune #AshcroftSullivanJha, Led One Laptop per Child India!",2469,2809,54568,False,
2020-03-01 01:12:11+00:00,"RT @ashoswai: . @aamir_khan sends emotional message to China, forgets Delhi on the way!",SamKhan999,india,"Artist. Independent Writer. Against religious intolerance, humanist. Author of  'Lost In the Red Maze & Spinning Top & other stories. Twitter 4 alternative news",6963,619,238572,False,". @aamir_khan sends emotional message to China, forgets Delhi on the way! https://t.co/nkuf6QRwDs"
2020-03-01 01:12:57+00:00,RT @RajeevSrinivasa: #padre #godmen should be able to do miracles. But even #mteresa flew to memorial Sloan Kettering hospital in NY https:…,SamarjitBharat,india,Indian History and culture,147,468,64529,False,#padre #godmen should be able to do miracles. But even #mteresa flew to memorial Sloan Kettering hospital in NY https://t.co/4kE90YZEAK
2020-03-01 01:13:01+00:00,RT @jillreports: I was sent to a Costco to see if people are stocking up (even though health officials say it’s not necessary) in case COVI…,Rajshekhardixit,pune india,You know where is the Follow botton 🤗,194,122,7306,False,I was sent to a Costco to see if people are stocking up (even though health officials say it’s not necessary) in case COVID-19 gets more serious here. This guy came out of the store with 16 boxes of condoms and a big jar of coconut oil. We all have priorities. https://t.co/C3edUsgZzH
2020-03-01 01:13:05+00:00,"RT @Investingcom: 🇬🇧 UK reports 3 new cases of coronavirus, raising total to 23
🇮🇪 Ireland reports first case of coronavirus
🇱🇺 Luxembourg…",vivekolte,nasik india,"You - INVEST & EARN with Our ANALYSIS & IDEAS       (Stock Market and Real Estate) Portfolio Management, Technical Analysis, Training - Basics & Chart, Equity",115,20,1246,False,"🇬🇧 UK reports 3 new cases of coronavirus, raising total to 23
🇮🇪 Ireland reports first case of coronavirus
🇱🇺 Luxembourg reports first case of coronavirus
🇪🇨 Ecuador reports first case of coronavirus
🇶🇦 Qatar reports first case of coronavirus https://t.co/5xbMNTfGs4"
2020-03-01 01:13:18+00:00,RT @spectatorindex: BREAKING: First case of coronavirus in Ireland,dreamyyinn,karnal india,I stalk random people and survive engineering.,1786,335,17146,False,BREAKING: First case of coronavirus in Ireland
2020-03-01 01:13:30+00:00,RT @BBCNews: Coronavirus: Nasa images show China pollution clear amid slowdown https://t.co/QguTq0uUAx,burst_open_flow,chennai india,,58,1011,618,False,Coronavirus: Nasa images show China pollution clear amid slowdown https://t.co/QguTq0uUAx
2020-03-01 01:13:31+00:00,"RT @UNICEF: This is one of the first defenses against #coronavirus: wash your hands regularly with water and soap.

🎥 @USATODAY https://t.c…",it_is_prasad,coimbatore india,"#gamingkid 
#The_month_is_March
#learner 
#artlover
Spread #foodism ...
💖👑
instagram:
....https://t.co/5NQxT2ujId",107,980,6671,False,"This is one of the first defenses against #coronavirus: wash your hands regularly with water and soap.

🎥 @USATODAY https://t.co/S1UPTtWxRz"
2020-03-01 01:13:38+00:00,"RT @NorbertElekes: Coronavirus update, February 29:

- S Korea: 813 new cases
- China: 573 new cases
- Italy: 239 new cases
- Iran: 205 new…",dreamyyinn,karnal india,I stalk random people and survive engineering.,1786,335,17146,False,"Coronavirus update, February 29:

- S Korea: 813 new cases
- China: 573 new cases
- Italy: 239 new cases
- Iran: 205 new cases
- France: 43 new cases
- Spain: 25 new cases
- Norway: 9 new cases
- Japan: 8 new cases
- USA: 6 new cases"
2020-03-01 01:13:40+00:00,RT @JudyWhaleCove: @JohnJHarwood Later on CNN Dr Gupta said that the influenza mortality rate is 0.1% and that the 2% coronavirus mortality…,petefds,goa india,,41,215,4909,False,"@JohnJHarwood Later on CNN Dr Gupta said that the influenza mortality rate is 0.1% and that the 2% coronavirus mortality rate is therefore *20 times* the mortality rate for influenza.
Noted immunology fellow Dr. Trump, however, naturally disagreed."
2020-03-01 01:13:49+00:00,"RT @chartsladygaga: 🇨🇳 Apple Music China:

#1. #StupidLove (+1) *New Peak* 
https://t.co/dBYljSR1Ju",vijaigaga,the great india,ARTPOP,69,190,2607,False,"🇨🇳 Apple Music China:

#1. #StupidLove (+1) *New Peak* 
https://t.co/dBYljSR1Ju"
2020-03-01 01:13:50+00:00,The AI that could cut coronavirus diagnosis times by 50pc  https://t.co/mT2BRa42WZ,rrnamb,bangalore india,Views are personal. RT or Likes are’t endorsements,1203,1417,5577,False,
2020-03-01 01:14:14+00:00,RT @NASAEarth: Airborne Nitrogen Dioxide Plummets Over China https://t.co/URfLNy0GZJ #NASA,sachin_scd,new delhi india,Jai Hind🇮🇳,322,207,662,False,Airborne Nitrogen Dioxide Plummets Over China https://t.co/URfLNy0GZJ #NASA
2020-03-01 01:14:30+00:00,Nature is also playing its role in China.I think this is a good sign for the whole world... https://t.co/jIGWkjuwOH,Rabbin93699315,gujarat india,O&M Engineer Bharti-MS-IN (ERICSSON).,0,4,5,False,
2020-03-01 01:14:44+00:00,"RT @girishjohar: A ""Very High Risk"" alert has been issued by #WHO for the entire globe for the spread of  #CoronaVirus ...ask world leaders…",Ashugupta7862,patiala india,"Bollywood movies ka deewana
         







 















(#Salmaniac 😎)",147,1109,19232,False,"A ""Very High Risk"" alert has been issued by #WHO for the entire globe for the spread of  #CoronaVirus ...ask world leaders to ""wake up fast"". Meanwhile, #NorthKorea shoots &amp; kills its 1st affected patient, as per its President's order !!!!"
2020-03-01 01:14:57+00:00,RT @BNODesk: NEW: Australia reports 1st death from coronavirus; patient was a 78-year-old former passenger of the Diamond Princess cruise s…,JatNationalist,india,Traditional Conservative. Hardcore Nationalist. Currently focused on the Coronavirus (COVID-19).,1633,697,11191,False,NEW: Australia reports 1st death from coronavirus; patient was a 78-year-old former passenger of the Diamond Princess cruise ship https://t.co/eUoE2b20hL
2020-03-01 01:15:10+00:00,"RT @BNODesk: NEW: South Korea reports 376 new cases of coronavirus, raising total to 3,526 cases and 17 dead https://t.co/eUoE2b20hL",JatNationalist,india,Traditional Conservative. Hardcore Nationalist. Currently focused on the Coronavirus (COVID-19).,1633,697,11191,False,"NEW: South Korea reports 376 new cases of coronavirus, raising total to 3,526 cases and 17 dead https://t.co/eUoE2b20hL"
2020-03-01 01:15:13+00:00,"RT @BNODesk: UPDATE: China's National Health Commission reports 573 new cases of coronavirus and 35 new deaths, nearly all in Hubei provinc…",JatNationalist,india,Traditional Conservative. Hardcore Nationalist. Currently focused on the Coronavirus (COVID-19).,1633,697,11191,False,"UPDATE: China's National Health Commission reports 573 new cases of coronavirus and 35 new deaths, nearly all in Hubei province https://t.co/eUoE2b20hL"
2020-03-01 01:15:37+00:00,"RT @KenRoth: In its next step of social control, the Chinese government is spreading Uighur Muslims around the country, taking them away fr…",KUdhayavani,new delhi india,INC Madhya Pradesh loyal worker. Radhey Radhey to you all readers.,32,118,8248,False,"In its next step of social control, the Chinese government is spreading Uighur Muslims around the country, taking them away from their Xinjiang homes, and forcing them to work. That potentially infects every supply chain in China with forced labor. https://t.co/ho4pKVFWPH"
2020-03-01 01:16:27+00:00,RT @spectatorindex: BREAKING: First case of coronavirus in Ireland,JatNationalist,india,Traditional Conservative. Hardcore Nationalist. Currently focused on the Coronavirus (COVID-19).,1633,697,11190,False,BREAKING: First case of coronavirus in Ireland
2020-03-01 01:16:44+00:00,"RT @thefader: .@BTS_twt fans donate concert refunds to coronavirus aid efforts.

https://t.co/JgTm8iuQ2F https://t.co/HC2ilWRZKT",VAuzZ2BJfzGKOZH,india,love yourself love myself peace ✌🏻 💜,253,246,163221,False,".@BTS_twt fans donate concert refunds to coronavirus aid efforts.

https://t.co/JgTm8iuQ2F https://t.co/HC2ilWRZKT"
2020-03-01 01:16:55+00:00,"RT @GuideforAll: #CurrentAffairs:

Which is the India’s 1st Artificial Intelligence summit to be organized by the Govt of India ?
- RAISE 2…",AgadalaRamkrish,hyderabad india,"I'm A Big Fan Of Natural Star Nani,
He Is my Everything",251,180,13348,False,"#CurrentAffairs:

Which is the India’s 1st Artificial Intelligence summit to be organized by the Govt of India ?
- RAISE 2020.

What is the rank of India in Hurun Global Rich List 2020, while #China tops ?
- 3rd.

#WorldNGODay was observed globally on which date ?
- 27 February. https://t.co/zG4JtF3L7M"
2020-03-01 01:34:37+00:00,First coronavirus death on US soil in Washington state: Official https://t.co/eqYSK1yxFQ,vajapeyam,india,"When will Indians in general say that ""I AM AN INDIAN FIRST & LAST,not INDIAN MUSLIM.INDIAN HINDU & INDIAN CHRISTIAN! 😡😔😕😬",3194,4241,272380,False,
2020-03-01 01:34:39+00:00,"RT @doctorsoumya: All countries need to prepare for the spread of #COVID19 - @WHO has updated technical guidance on surveillance, lab capac…",palashjoshi_08,india,Have Fun!😉,48,296,5640,False,"All countries need to prepare for the spread of #COVID19 - @WHO has updated technical guidance on surveillance, lab capacity, IPC, patient management, points of entry and mass gatherings, risk communication &amp; more. Facilities to treat sick patients a must. https://t.co/rVTHqHUNwY"
2020-03-01 01:34:46+00:00,RT @ShohamTxID: Presenteeism is hard wired into doctors and nurses and pharmacists through years of conditioning. Busy clinicians come to w…,lalitkumarL,imphal manipur india,reloading.....,712,429,23239,False,Presenteeism is hard wired into doctors and nurses and pharmacists through years of conditioning. Busy clinicians come to work sick. Can that training be reversed in the middle of a viral outbreak?
2020-03-01 01:34:47+00:00,RT @rainnwilson: Craziest conspiracy theories you’ve heard so about the Corona-virus. Ready go.,azgothedefiler,india,17 / Cricket Fan / Movie Buff / Punjabi Music ❤️ / Tech / Memes /EVERYTHING MATTE BLACK /,55,118,6953,False,Craziest conspiracy theories you’ve heard so about the Corona-virus. Ready go.
2020-03-01 01:34:49+00:00,RT @Dazed: .@BTS_twt fans are donating their ticket money to coronavirus relief efforts: https://t.co/mNTE1Pp4NB,TenTen94762297,nagaland india,Being Myself~~,8,36,17419,False,.@BTS_twt fans are donating their ticket money to coronavirus relief efforts: https://t.co/mNTE1Pp4NB
2020-03-01 01:35:34+00:00,Coronavirus: India may impose duties on 100 top Chinese imports https://t.co/YKgxK4fBRJ,ttechoftomorrow,navi mumbai india,Read News Headlines Analysis By Experts In India. Know The Actual Story Behind The Seen. Get The Top Level Of News Event Analysis By Famous Experts.,40,0,17908,False,
2020-03-01 01:36:01+00:00,RT @richyricha Horrified to learn that one of the cases is right here in my county in Oregon.. 😬😷🥺 https://t.co/3XZ6zaR5Tg,cMovieTube83,chennai india,"#Cinema, #MovieReviews, #TamilSerial, #Astrology, #LatestNews #Health #Beauty #Tips, #Samayal, #VideoSongs, #Whatsapp Videos & All #Trending Videos at One Place",2759,2785,96029,False,
2020-03-01 01:36:06+00:00,"RT @Hiranyareta: Hain!! Virus incubation HQs infected by another virus!!

https://t.co/8XlhzPwZfb",sarathykousik,tamil nadu india,"தண்ணீர் விட்டோ வளர்த்தோம்
RTs ~= endorsements",213,284,32672,False,"Hain!! Virus incubation HQs infected by another virus!!

https://t.co/8XlhzPwZfb"
2020-03-01 01:36:11+00:00,RT @BBCNews: Coronavirus: Nasa images show China pollution clear amid slowdown https://t.co/QguTq0uUAx,RiseOfDharma,tamil nadu india,Advocate | Proud Hindu 🕉 🇮🇳 | Kshatriya | தமிழ் | Jai Shri Ram | Om NaMo Shivaya | 🚩🚩🚩,2016,1180,45998,False,Coronavirus: Nasa images show China pollution clear amid slowdown https://t.co/QguTq0uUAx
2020-03-01 01:36:19+00:00,RT @BangtanINDIA: #BTSARMY have donated 300+ million Won (Rs- 1.8 Crores) so far to Hope Bridge National Disaster Relief Association to hel…,shivani_bln,india,hi! I am BTS-ARMY,409,442,34305,False,"#BTSARMY have donated 300+ million Won (Rs- 1.8 Crores) so far to Hope Bridge National Disaster Relief Association to help those affected by Covid-19 .

So proud of Karmys . Thank you !_! 💜💜💜💜💜💜💜
@BTS_twt #BTS 
 https://t.co/mvIVJW8vwn"
2020-03-01 01:36:36+00:00,"RT @UnSubtleDesi: Don’t need sermons from someone who “makes a case for Pakistan”. Please go back to Londonistan and submit to Sharia, whic…",rbr6000,india,Love politics & games. RTs not endorsement and tweet are personal.,1455,1643,168850,False,"Don’t need sermons from someone who “makes a case for Pakistan”. Please go back to Londonistan and submit to Sharia, which you might have gotten used to shunting between Londonistan and Pakistan. 

(All info per his own bio. He sports his stupidity rather proudly) https://t.co/r7PD5aTHKk"
2020-03-01 01:36:38+00:00,"Oh, these guys are concerned of something!? https://t.co/thVFOSYHF8",sindhan,tamil nadu india,"Comrade ! , @cpimspeak   -  https://t.co/fz7Rh7LAaf",44892,194,20293,False,
2020-03-01 01:36:47+00:00,"#Coronavirus is #saving the #World from #globalwarming . Is NCOV God's response to our prayers?

Hard response that we couldn't bare. 

""You came from #heaven to #Earth to save the world"" from the snake to the bat, from the bat to the man. https://t.co/NpjooRws4g",pratapchowdary,hyderabad india,"Entrepreneur, strategist, Business Consultant & Executive coach. #books #distribution #content #eBooks #marketing #sales #consulting",2734,1566,1202,False,
2020-03-01 01:37:25+00:00,Reduction in production and activity reduces NO2 in China. Nature repairing itself. https://t.co/dloWtb938f,Arindamdas_kol,kolkata india,Manager at TATA. Contemporary Painter. Occasional writer. Work-Station Thinker and IT services evangelist by profession. Loves swimming and practices innovation,1043,1576,1015,False,
2020-03-01 01:38:10+00:00,"RT @paanagam: Iran’s former ambassador to the Vatican and prominent cleric Hadi Khosrowshahi died of coronavirus: Anadolu Agency

On anothe…",sarathykousik,tamil nadu india,"தண்ணீர் விட்டோ வளர்த்தோம்
RTs ~= endorsements",213,284,32672,False,"Iran’s former ambassador to the Vatican and prominent cleric Hadi Khosrowshahi died of coronavirus: Anadolu Agency

On another news, Pope Francis cancels official engagements for third day in a row https://t.co/JWeB4r1QuI"
2020-03-01 01:38:32+00:00,"""NASA images show measurable decrease in airborne nitrogen dioxide over China""  https://t.co/CSf8SeMeMn",kalavati190477,nelamangala india,"ಸ್ವಾಭಿಮಾನಿ ಭಾರತೀಯ ಪ್ರಜೆ.🇮🇳
ಕನ್ನಡತಿ ,ಕನ್ನಡಾಭಿಮಾನಿ.💛❤️
ಕನ್ನಡ ನಾಡು ,ನುಡಿ ನನ್ನ ಜೀವ.
ಸ್ವಾಭಿಮಾನಿ ಹಿಂದೂ🚩🕉️",6162,635,31016,False,
2020-03-01 01:38:39+00:00,Thank u https://t.co/s6kd5GZPRI,JhaAmit91,faridabad india,,242,4998,234481,False,
2020-03-01 01:38:40+00:00,"Great message @aamir_khan , now that you have addressed your Chinese fan base. Don’t you think it’s time for you to address issues like #CAA_NRC_NPR or #DelhiRiots  closer home.These issues affect larger fan base of yours back home. Or have you sold your soul like #GodiMedia 🙏🏼 https://t.co/Eg9a2rbMyW",Sadafsayeed,delhi india,"Indian,Father, Husband, Son,Brother,CEO of an Org focusing on financial inclusion of masses. Sufi at heart *Tweets/RT are personal,nothing to do with my company",843,789,49478,False,
2020-03-01 01:38:44+00:00,"RT @ndtv: #JustIn | China reports 35 more #coronavirus deaths, 573 new cases: news agency AFP.

More on https://t.co/Fbzw6mR9Q5 and NDTV 24…",AnandGagandeep,new delhi india,cricket crazy.. love Indian team.. aspiring world traveller... Delhi da Munda...,88,424,6449,False,"#JustIn | China reports 35 more #coronavirus deaths, 573 new cases: news agency AFP.

More on https://t.co/Fbzw6mR9Q5 and NDTV 24x7"
2020-03-01 01:39:10+00:00,Let me prepare my shopping list today! https://t.co/Xnhtl6bGxp,harishkant2007,mumbai india,"Student of Life, optimist, impatient, believe-in-repairing, frugal, old-type-investor, Banker, Teacher, Insolvency Professional",131,284,4370,False,
2020-03-01 01:39:17+00:00,"Like the US President, Indian PM @narendramodi should make a public statement regarding India’s preparedness for possible Coronavirus outbreak. There’s panic all over and a word of reassurance from the PM may calm the ppl. @PMOIndia @MoHFW_INDIA @AmitShah @BJP4India @IndiaToday",adv_varunamar,new delhi india,"Supreme Court Lawyer | Ex Legal Attaché to UN HQ, UN International Criminal Tribunal & INTERPOL | ICC-MCC Judge | ILS, LSE, NUS & ECUPL Alumni | IBA Scholar~",1950,636,2138,False,
2020-03-01 01:39:19+00:00,"RT @JuddLegum: There are only TWO coronavirus cases in Mexico.

There are 16 in Canada. 

For Trump, every problem has the same solution ht…",osrsBrew,uttar pradesh india,Occasional gamer @blazers_inc,79,164,709,False,"There are only TWO coronavirus cases in Mexico.

There are 16 in Canada. 

For Trump, every problem has the same solution https://t.co/DV6GnePbNg"
2020-03-01 01:39:26+00:00,RT @NASAEarth: Airborne Nitrogen Dioxide Plummets Over China https://t.co/URfLNy0GZJ #NASA,ANISHAJAGWAN,himachal pradesh india,Proud Indian.......some time writer.....,36,107,773,False,Airborne Nitrogen Dioxide Plummets Over China https://t.co/URfLNy0GZJ #NASA
2020-03-01 01:39:29+00:00,RT @CutieMonkey3: Italy's numbers have quadrupled over the last five days. Meanwhile the China numbers have remained virtually stagnant. 👌…,BhagwaErwin,india,"Let the foundations of all works be Truth, Goodness and Beauty.

🪔Jai Siya Ram🪔",239,58,4760,False,Italy's numbers have quadrupled over the last five days. Meanwhile the China numbers have remained virtually stagnant. 👌 https://t.co/kYvg8NpQoI
2020-03-01 01:39:32+00:00,"RT @EndGameWW3: China officials knew of coronavirus in December, ordered cover-up, report says https://t.co/0E0QvHqfsS via @nypost",AashishMisra,india,INDIAN. RTs are not always endorsement 😜,348,236,44963,False,"China officials knew of coronavirus in December, ordered cover-up, report says https://t.co/0E0QvHqfsS via @nypost"
2020-03-01 01:39:41+00:00,Upgraded https://t.co/zXmLNInXWR,JhaAmit91,faridabad india,,242,4998,234481,False,
2020-03-01 01:57:42+00:00,"RT @FaraaahKhan: Well @BernieSanders if you are so sympathetic &amp; concerned about d safety of ‘200 million’ Muslims in India, why silent ove…",KDKedarta,shimla india,"Jai Shri Ram, I’m Nationalist Minded🇮🇳, Hardcore Hindu 🏹🕉, BJP Follower & Nature Lover.🌲🍀🌏",47,33,11615,False,"Well @BernieSanders if you are so sympathetic &amp; concerned about d safety of ‘200 million’ Muslims in India, why silent over d fate of Baloch in #Pakistan &amp; millions of Uighurs in China.
Aren't they a visible evidence of Human Rights violation in ur sight?

@TarekFatah @TahirGora https://t.co/aqOiIbzjBF"
2020-03-01 01:57:50+00:00,"RT @Milbank: Remember this moment:  Trump, in South Carolina, just called the coronavirus a ""hoax.""",MasumJmi,hyderabad india,"Research Scholar, proud  Jamian♥️, Wikipedian, Bibliophile, Quorian hailing from the city of joy & residing in the city of Nizams...and yes, hum bhi dekhenge...",596,1669,5187,False,"Remember this moment:  Trump, in South Carolina, just called the coronavirus a ""hoax."""
2020-03-01 01:58:04+00:00,RT @myownniche: This thread shows how it's near apocalypse in Iran. It's too scary.,pendown,cochin india,"Journalist with The New Indian Express. Previously with OBP, PTI, AFX (Delhi), PTI (Chennai), HBL, BS, FC (Mumbai)",5224,2075,48865,True,This thread shows how it's near apocalypse in Iran. It's too scary. https://t.co/GT79XUg5tB
2020-03-01 01:58:45+00:00,RT @ty_dontsin: Imagine being a CEO and you’re losing millions purely because your customers are idiots.,risheek_king,india hyderabad eluru,Not A fan 😝,1405,280,74089,False,Imagine being a CEO and you’re losing millions purely because your customers are idiots. https://t.co/xcz1rxtjSW
2020-03-01 01:58:49+00:00,RT @rohini_sgh: How touching. If only he could have also seen the tragedy that unfolded in Delhi and conveyed his heartfelt condolences for…,ajaythakur11,ahmadabad city india,"Engineer, MBA and Business Law Graduate",32,442,969,False,"How touching. If only he could have also seen the tragedy that unfolded in Delhi and conveyed his heartfelt condolences for those who have lost everything. But then the times we live in, Beijing moves our movie stars more than Delhi. https://t.co/7zQ79oKWG7"
2020-03-01 01:58:50+00:00,"@prahlad54465269 @HARYANVITAU2 @sonaliranade India will be kicked out from Afghanistan, Afghanistan future is doomed. New player China will be there, Atheist country and Taliban, perfect combination.",kkrishna338,india,Indian Rationalist,72,50,4005,False,
2020-03-01 01:58:53+00:00,@devindthorpe @BillGates @gatesfoundation @Rotary @Forbes Maybe Bill Gates shd help focus in pandemics!Peopel are helpless as governments not doing enough to prevent Coronavirus  @smitaprakash @narendramodi @PawanKalyan  #CoronaOutbreak,PentapatiPullar,india,"Economist, Columnist & Activist. Successfully petitioned authorities w.r.t. many human rts violations. Published over 1500 scholarly & op-ed pieces.",4777,277,21583,False,
2020-03-01 01:58:53+00:00,RT @somebadideas: I keep telling you BTS Army are good,Madhura85068455,india,"fan account.
Directioner + ARMY
= Arectioner",95,101,899,False,I keep telling you BTS Army are good https://t.co/MVjuZ1nyzk
2020-03-01 01:58:57+00:00,"A pub in Haslemere, called the Prince of Wales, also closed for a deep clean as ""a precautionary measure"". A sign outside the pub said that ""a customer who visited us has tested positive for coronavirus"". https://t.co/bDUEELKDoj",DilliDurAst,new delhi india,Columnist for @ThePrintIndia Email: shivamvij.delhi at gmail dot com,103191,3058,156043,True,
2020-03-01 01:59:02+00:00,Geneva Worldwide Motor Present is cancelled on coronavirus scare https://t.co/r4Schy3rio,livdose,bathinda india,We represent https://t.co/xuQcPJtX26 and Livdose is one of our digital properties. It is India’s leading website that provides viral content.,30,2,14705,False,
2020-03-01 01:59:23+00:00,"RT @NPR: JUST IN: Health officials with Seattle and King County, Washington, say a patient infected with coronavirus has died.",Kalki_108,india,"UNABASHEDLY & UNAPOLOGETICALLY Proud Hindu💪. Dharmo Rakshati Rakshitaha🙏. 
Chhatrapati Shivaji/Veer Savarkar/Sardar Patel/PV Narasimha Rao.♥
RTs≠Endorsements.",1703,3337,145684,False,"JUST IN: Health officials with Seattle and King County, Washington, say a patient infected with coronavirus has died."
2020-03-01 01:59:26+00:00,"RT @ANI: China reports 35 more #Coronavirus deaths, 573 new cases: AFP news agency",RajRockstaar,india,Indian,137,6,30772,False,"China reports 35 more #Coronavirus deaths, 573 new cases: AFP news agency"
2020-03-01 01:59:47+00:00,RT @parupallik: I wanted to address another topic regarding the situation with the Coronavirus and the Olympic qualification period and the…,Adityakejriwa14,balangir india,Love 😍 badminton,261,346,1672,False,I wanted to address another topic regarding the situation with the Coronavirus and the Olympic qualification period and the no. of tournaments which are doubtful to be held . We all had 7 events starting from Spain masters until the Singapore open n few have the Asian Champs too.
2020-03-01 01:59:40+00:00,RT @aliostad: Coronavirus epidemy in Iran has past the crisis level. The country is imploding - law and order to disappear in the next days…,shiva0906,chennai india,"Banker, movie buff and always keen to learn!!",32,401,312,False,Coronavirus epidemy in Iran has past the crisis level. The country is imploding - law and order to disappear in the next days. A number of officials already died and mass infection among hospital staff and police forces reported.
2020-03-01 01:59:24+00:00,"RT @ANI: Telangana ministers KT Rama Rao, Etela Rajender, Talasani Srinivas Yadav and others ate chicken on stage in Hyderabad yesterday in…",VanteruR,nellore india,owner of Tanuj Tanvi nirmana! samsthithi nirmana! civil engineer!https://t.co/S08U1Y20rF!! #janasena #Rohit #kohli #sachin,1383,2138,22102,False,"Telangana ministers KT Rama Rao, Etela Rajender, Talasani Srinivas Yadav and others ate chicken on stage in Hyderabad yesterday in a bid to end rumours that #Coronavirus is transmitted through chicken and egg. https://t.co/WnG1ydZOli"
2020-03-01 01:58:42+00:00,RT @gvicks: For #coronavirus eat two pods of garlic. It’s useless but people will keep a safe distance from you.,Bedabrat_Deka97,guwahati india,"http://Studying https://t.co/In7vBJVt1H at EE // KHATI AXOMIYA

Follow me on Instagram : @bedabratdeka97 and @dekagaming97

MUSTANG FAN 😎",2636,3819,54542,False,For #coronavirus eat two pods of garlic. It’s useless but people will keep a safe distance from you.
