created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-01 08:00:00+00:00,"The coronavirus outbreak is set to hit supplies of smartphone components from China to India at least till the second quarter of this year.

https://t.co/jXlGIRXU9V

#CoronavirusOutbreak #Smartphones #Technology #TechNews #Gadgets #GadgetNews",_Indiaupdates,new delhi india,"India Updates is an independent news & Information Website. We provide Important updates, News that matters to you.",230,104,5575,False,
2020-03-01 08:00:00+00:00,"RT @choi_bts2: According to Hope Bridge Korea Disaster Relief Association, BTS ARMY made about 8,000 donations to help for recovery of the…",priyanka_twt19,delhi india,24 | Educator | English Literature Graduate | Avid Reader | @bts_twt 💜 | Jungkook Biased 🐰💓,3807,2080,128269,False,"According to Hope Bridge Korea Disaster Relief Association, BTS ARMY made about 8,000 donations to help for recovery of the COVID19 (coronavirus)in Korea and the amount surpassed KRW 388M (USD323K) until today 1 Mar 1PM KST. @BTS_twt https://t.co/FBfHq2LCBx"
2020-03-01 08:00:02+00:00,@tinkerbell9958 why do you think.. if this is not true.. then why did china had to quarantine 14 cites completely. and also quarantine people who are.suspected of infected with #coronavirus,VickyAgarwalaVA,bengal tiger india,"'Born To Help People. Need Help? Talk To Me.'
'Passionate.' 'Lover.' 'Smile & Love Giver.' 'Time Capsule.'
'I now also tweet about my INTUITION & Gut FEELING.'",2751,169,36490,False,
2020-03-01 08:00:04+00:00,"New story on NPR: COVID-19 Latest: Global Markets React, More Cases Reported https://t.co/idfwjT6k5d https://t.co/UVQoQ8MTRu",abhishekhuman1,uttar pradesh india,Latest post: Australia shark attack: Man killed spearfishing near Fraser Island https://t.co/rbqjtMP9Uq,45,1035,5720,False,
2020-03-01 08:00:06+00:00,Man returned from Italy becomes Ireland’s first coronavirus case https://t.co/Gs1Zp5FILV via @Seedhi Baat,SeedhibaatF,bengaluru india,"We've just joined Twitter! Please follow us and tell your friends :(SEEDHIBAAT TV IS IN MULTIPLE LANGAUGES. ENG,URDU,KAN,HIN)
STAY TUNED WITH US!",2302,360,8569,False,
2020-03-01 08:00:06+00:00,New story on NPR: President Trump Confirms 1st U.S. Coronavirus Death; U.S. Heightens Travel Warnings https://t.co/BpwplzBZDT https://t.co/iD4Ww8tB8P,abhishekhuman1,uttar pradesh india,Latest post: Australia shark attack: Man killed spearfishing near Fraser Island https://t.co/rbqjtMP9Uq,45,1035,5720,False,
2020-03-01 08:00:12+00:00,@Sanju_Verma_ March’20 collection will be low due to drop in manufacturing during Feb because of Suppy disruption form China(Coronavirus).,chandan_nit_dgp,gurgaon india,"इंजिनीयर-कम-ग्लोरिफाईड क्लर्क।बिहारी।भोजपुरिया।बावर्ची।मुसाफ़िर।राष्ट्रीय प्रौद्योगिकी संस्थान,दुर्गापुर।",152,118,14771,False,
2020-03-01 08:00:13+00:00,"RT @BTSARMY_Salon: As of March 1st 1PM KST, about 8,000 #BTSARMY donated 388,940,386 won for COVID-19 relief with keywords like #방탄소년단 Bang…",priyanka_twt19,delhi india,24 | Educator | English Literature Graduate | Avid Reader | @bts_twt 💜 | Jungkook Biased 🐰💓,3807,2080,128269,False,"As of March 1st 1PM KST, about 8,000 #BTSARMY donated 388,940,386 won for COVID-19 relief with keywords like #방탄소년단 Bangtan, #BTS, ARMY. The staff said this amount doesn't even include the ARMY's donations made in BTS members' names like 'RM' or 'V'.
-
😭💜👍 @BTS_twt https://t.co/ddli4ikMYf"
2020-03-01 08:00:13+00:00,RT @OriginalDWoods: A dog has tested positive for the Coronavirus. White people about to find a cure ASAP now,Silverblood711,chennai india,"Stand up comedian, blogger and writer. Intersectional feminist. Will do anything for garlic bread",350,283,1209,False,A dog has tested positive for the Coronavirus. White people about to find a cure ASAP now
2020-03-01 08:00:14+00:00,"RT @choi_bts2: According to Hope Bridge Korea Disaster Relief Association, BTS ARMY made about 8,000 donations to help for recovery of the…",madavi_yami,nagpur india,,84,212,76674,False,"According to Hope Bridge Korea Disaster Relief Association, BTS ARMY made about 8,000 donations to help for recovery of the COVID19 (coronavirus)in Korea and the amount surpassed KRW 388M (USD323K) until today 1 Mar 1PM KST. @BTS_twt https://t.co/FBfHq2LCBx"
2020-03-01 08:00:18+00:00,‘All they have to do is ask’: Trump on helping Iran with coronavirus outbreak https://t.co/k8aO73G5Dk https://t.co/1rhrS7GKV7,quickclarity,india,"Quickclarity gives the clarity with best quality real news content, Articles and updates you with the latest released contents.",33,194,3631,False,
2020-03-01 08:00:19+00:00,Read. This. Thread. And follow @MsEntropy - her analysis is brilliant. https://t.co/CLtEJ0DNAr,Modern_Gypsy,india,Artist | Tarot reader | Soul seeker | Moon gazer ✨ igniter of creative souls ✨ | Get love letters 💌 + FREE goodies: https://t.co/YWlxb7IQWu,2276,1006,43357,False,
2020-03-01 08:00:22+00:00,"RT @DilliDurAst: Satellite images have shown a dramatic decline in pollution levels over China, which is ""at least partly"" due to an econom…",aflatoonarman,mumbai india,"traveller of bad times
#GreatReturnMarch",384,1232,95583,False,"Satellite images have shown a dramatic decline in pollution levels over China, which is ""at least partly"" due to an economic slowdown prompted by the coronavirus, US space agency Nasa says. https://t.co/k2T6ZdKcPm"
